Jerome;0;9;6;8;7;6;0;6;0;5;0;7;6.33366063912;
Lennox;0;0;0;0;0;0;0;0;8;10;6;7;15.0594700561;
Hudson;9;11;17;25;21;26;43;44;62;68;83;88;176.883471243;
Amit;6;8;0;0;0;0;0;0;0;0;0;0;0;
Kameron;5;0;0;0;0;0;5;11;0;0;0;0;0;
Amir;0;5;0;0;5;0;0;0;0;0;0;0;0.662963783665;
Neo;0;0;6;0;0;0;0;0;0;0;0;5;2.84640958287;
Jensen;0;0;0;0;0;0;0;0;0;0;6;9;11.6392991199;
Sahaj;0;0;0;0;0;0;0;0;0;5;0;0;2.48686881901;
Calum;7;12;6;7;5;0;5;6;7;8;7;6;2.52695154553;
Arman;13;10;11;10;12;7;13;18;14;10;7;12;5.24141910322;
Callen;0;0;0;0;0;0;0;0;0;5;5;5;11.2380206818;
Aarush;0;0;0;0;0;0;0;0;5;0;0;0;0;
Samson;5;6;0;0;0;9;0;5;0;0;0;0;0;
Weston;0;0;0;7;9;0;0;9;9;23;20;27;52.644060319;
Seth;49;58;49;52;44;52;51;48;44;38;41;33;14.8881560445;
Fynn;5;0;0;0;0;0;0;0;0;7;0;5;4.63488319327;
Wesley;26;23;31;16;30;16;20;27;25;29;31;32;35.3586421121;
Maxime;0;0;0;0;0;0;0;0;5;8;0;0;4.01199397464;
Roderick;0;0;0;0;0;0;0;0;0;0;5;0;5.0676435351;
Jonathon;7;5;5;8;0;0;6;5;0;0;0;0;0;
Michael;209;159;160;126;119;118;104;99;91;99;94;92;0;
Paul;18;19;24;23;23;17;22;15;23;25;13;9;12.1596810313;
Tye;6;5;8;11;5;5;0;0;0;0;0;9;6.29054858178;
Kylan;0;0;0;0;7;0;0;0;0;0;0;9;9.03054421338;
Artin;0;0;0;0;0;0;0;0;5;0;0;5;2.01937536592;
Kenneth;23;24;23;19;24;10;20;16;14;10;17;16;0.997930099759;
Soren;0;0;0;11;7;5;9;11;6;10;6;7;20.8441756099;
Jaxon;17;16;16;19;24;37;31;43;66;65;67;87;163.411883509;
Cameron;128;129;117;114;92;90;89;80;82;60;66;54;0;
Aleksander;0;0;0;0;0;0;0;0;0;0;6;0;6.08117224113;
Cedar;0;0;0;0;0;0;0;7;6;0;9;7;8.41111489926;
Izaiah;0;0;0;0;0;0;0;0;5;0;0;0;0;
Roy;7;0;7;7;6;10;8;0;0;7;7;7;11.4534183016;
Forrest;0;0;0;0;7;0;0;0;0;5;0;0;5.82353130257;
Wayne;5;0;6;0;0;0;5;0;0;0;6;0;0;
Graeme;20;11;9;8;8;10;6;9;7;9;0;5;0;
Darryl;0;0;0;0;0;5;0;0;0;0;0;0;1.11351612759;
Cody;64;49;47;40;47;35;28;29;31;27;29;17;0;
Reese;7;11;10;9;9;0;0;7;7;0;0;0;0;
Eamon;0;0;0;6;0;0;5;0;0;0;0;0;2.26113712835;
Parker;31;39;31;36;48;49;45;61;56;53;56;82;97.987382851;
London;0;0;0;0;0;0;9;5;9;5;5;8;6.7897385837;
Silas;6;17;15;17;10;16;23;32;27;26;36;44;54.3733447451;
Ranveer;0;0;0;0;0;0;0;9;7;0;0;7;0.549719092703;
Harman;20;14;20;15;23;17;11;10;12;11;11;10;12.7496436431;
Steven;47;44;36;35;25;26;24;26;24;19;11;22;0;
Kohen;0;0;0;5;6;0;11;20;7;12;9;9;9.99691066783;
Gurnoor;0;0;0;6;5;9;0;0;0;0;8;7;13.5495545132;
Dawson;48;59;36;39;37;30;35;23;15;26;24;19;0;
Marek;0;0;0;0;5;6;7;8;8;6;0;0;0.536693026727;
Nixon;0;0;0;0;0;0;5;0;16;13;20;24;47.8284096131;
Aries;0;0;0;0;0;0;0;0;0;0;5;0;5.0676435351;
Skyler;14;11;10;8;6;9;5;11;13;17;11;13;11.0030835758;
Jaydon;7;7;0;7;0;0;0;5;10;0;0;6;0;
Adrian;43;24;33;35;41;33;39;28;31;39;32;35;40.9806604826;
Keagan;0;9;8;10;7;10;5;15;10;9;10;6;11.8820258955;
Arvin;0;9;9;8;7;6;9;10;12;7;14;16;21.9007636544;
Tyrese;7;6;0;0;0;8;0;0;0;0;0;0;0;
Akash;8;10;6;7;0;5;0;0;0;0;6;0;0;
Maximilian;5;5;7;10;9;6;20;10;11;16;6;11;10.812480627;
Mehtaab;0;0;0;0;0;0;5;0;5;8;0;0;2.93201736193;
Ivan;18;16;25;18;17;24;23;17;21;29;21;24;32.5319818108;
Jesse;54;53;45;67;68;68;48;57;62;48;40;44;56.3583102445;
Lennon;0;0;0;0;0;0;0;0;5;5;0;0;2.61589017531;
Miles;16;6;11;11;20;14;18;19;19;31;26;24;50.552909371;
Kaiden;8;15;15;24;29;27;35;38;40;33;39;25;59.9272145219;
Zachery;5;12;10;5;8;0;0;8;6;0;0;5;0;
Ace;0;0;0;0;0;0;0;0;0;6;0;0;2.98424258339;
Karter;0;0;0;0;0;5;8;6;0;10;13;6;19.6817987572;
Fraser;9;8;11;7;12;0;12;7;8;12;0;9;0.841598332562;
Gurkaran;5;7;6;0;6;0;5;5;0;0;0;0;0;
Emerson;0;0;0;6;6;8;7;13;11;7;20;13;34.6652161776;
Reid;21;18;15;17;24;20;26;15;33;36;33;25;49.2080731949;
Dante;16;21;19;13;10;15;12;22;24;15;8;16;4.64071106885;
Parsa;0;0;6;0;0;0;0;5;0;0;0;0;0;
Matin;0;0;0;0;0;0;0;0;5;0;0;0;0;
Manjot;0;0;0;7;0;0;0;6;0;5;0;0;2.39039086932;
Lochlan;5;0;5;6;6;0;12;6;10;17;18;14;32.3054177728;
Glenn;7;0;0;0;0;0;0;0;0;0;0;0;0;
Boston;0;5;0;0;0;0;0;0;6;0;0;0;0;
Johnny;5;9;5;10;6;9;14;8;12;7;6;0;0;
Brody;35;29;36;40;45;45;60;73;63;49;49;46;48.4518659158;
Henrik;0;0;0;0;0;0;0;0;0;6;12;0;13.299853468;
